name,city,number_of_courts,lines_status,nets_status
Willmore Park,St Louis,6,Perm. Lines,Perm. Nets
Kirkwood Community Center,St Louis,4,Perm. Lines,Portable Nets
Miner Park Pickleball Courts,St Louis,6,Perm. Lines,Perm. Nets
Watson Trail Park,St Louis,4,Perm. Lines,Tennis Nets
Carondelet Tennis Courts,St Louis,6,Perm. Lines,Perm. Nets
Shaw Park Tennis Center,St Louis,4,Perm. Lines,Perm. Nets
Wilson Park,St Louis,6,Perm. Lines,Perm. Nets
St Vincent Community Center,St Louis,4,Perm. Lines,Tennis Nets
North St. Louis County Recreational Complex,St Louis,4,Perm. Lines,Portable Nets
Benton Park,St Louis,2,Perm. Lines,Perm. Nets
Ritenour High School,St Louis,2,Perm. Lines,BYO Nets
Spellman Park,St Louis,1,Perm. Lines,Tennis Nets
Tilles Park,St Louis,6,Perm. Lines,Perm. Nets
Kennedy Recreation Center,St Louis,3,Perm. Lines,Portable Nets
Southgate Church,St Louis,3,Tape Lines,Portable Nets
Fenton City Park,St Louis,8,Perm. Lines,Perm. Nets
Armistead Gardens Elementary School,Baltimore,2,Perm. Lines,Portable Nets
Catonsville Community Park,Baltimore,4,Perm. Lines,BYO Nets
Rockburn Branch Park,Baltimore,3,Perm. Lines,BYO Nets
Atholton Park,Baltimore,2,Perm. Lines,Perm. Nets
Glendale Park,Baltimore,3,Perm. Lines,Perm. Nets
Oliver Beach Elementary School,Baltimore,2,Perm. Lines,Tennis Nets
Locust Park Pool,Baltimore,4,Perm. Lines,BYO Nets
Oakland Mills Village Center,Baltimore,4,Perm. Lines,BYO Nets
Clifton Park,Baltimore,3,Perm. Lines,Tennis Nets
Pikesville Middle School,Baltimore,3,BYO Lines,BYO Nets
Latrobe Park,Baltimore,3,Perm. Lines,Tennis Nets
Perry Hall Middle School,Baltimore,16,Perm. Lines,BYO Nets
Solo Gibbs Pickleball Courts,Baltimore,2,Perm. Lines,BYO Nets
Vantage Point Park,Baltimore,4,Perm. Lines,BYO Nets
Severn-Danza Park,Baltimore,4,Perm. Lines,BYO Nets
Dumbarton Middle School,Baltimore,5,Perm. Lines,BYO Nets
West Towson Park,Baltimore,1,Perm. Lines,BYO Nets
Randallstown Community Center,Baltimore,4,Perm. Lines,Portable Nets
Solley Park,Baltimore,3,Perm. Lines,BYO Nets
Valley Baptist Church,Baltimore,2,Tape Lines,Portable Nets
Ateaze Senior Center,Baltimore,2,Perm. Lines,BYO Nets
Loch Raven Recreation Center,Baltimore,7,Perm. Lines,BYO Nets
Honeygo Run Regional Park Outdoors,Baltimore,3,Perm. Lines,BYO Nets
Northeast Regional Recreation Center,Baltimore,4,Perm. Lines,Portable Nets
Lindale Middle School,Baltimore,2,Perm. Lines,Tennis Nets
Wellwood International School,Baltimore,2,Perm. Lines,BYO Nets
Linthicum Park,Baltimore,4,Perm. Lines,BYO Nets
Oakland Mills High School,Baltimore,8,Perm. Lines,BYO Nets
Overlook Park,Baltimore,2,Perm. Lines,BYO Nets
Columbia Gateway Pickleball Court,Baltimore,3,Perm. Lines,Perm. Nets
Catonsville Elementary School,Baltimore,5,Perm. Lines,Perm. Nets
Patterson Park Tennis Courts,Baltimore,4,Perm. Lines,BYO Nets
Thunder Hill Elementary School,Baltimore,4,Perm. Lines,BYO Nets
Blueberry Hill Franklin Park,Pittsburgh,3,Perm. Lines,Perm. Nets
Clever Park,Pittsburgh,2,Perm. Lines,Tennis Nets
William McKinley Citizen Center,Pittsburgh,2,Perm. Lines,Portable Nets
Burkett Park,Pittsburgh,3,Perm. Lines,Perm. Nets
Phillips Recreation Center,Pittsburgh,2,Perm. Lines,Portable Nets
Moon Park,Pittsburgh,6,Perm. Lines,Perm. Nets
Marmo Community Park,Pittsburgh,2,Perm. Lines,Perm. Nets
Arlington Recreation Center,Pittsburgh,2,Perm. Lines,Portable Nets
Frick Park,Pittsburgh,3,Perm. Lines,Perm. Nets
Monroeville Community Park West,Pittsburgh,12,Perm. Lines,Perm. Nets
Aspinwall Recreational Area,Pittsburgh,2,Perm. Lines,Portable Nets
Bethel Park Community Center,Pittsburgh,3,Perm. Lines,Portable Nets
Schenley Park,Pittsburgh,4,Perm. Lines,Perm. Nets
Monroeville Community Park West,Pittsburgh,8,Perm. Lines,BYO Nets
North Park Tennis Courts,Pittsburgh,8,Perm. Lines,Perm. Nets
Bellevue Memorial Park,Pittsburgh,2,Perm. Lines,Perm. Nets
Snyder Park,Pittsburgh,2,Perm. Lines,BYO Nets
Baker Park,Pittsburgh,4,Perm. Lines,BYO Nets
South Park Tennis Courts,Pittsburgh,6,Perm. Lines,Perm. Nets
Moore Park,Pittsburgh,2,Perm. Lines,Perm. Nets
The Fold,Pittsburgh,1,Perm. Lines,BYO Nets
Washington’s Landing Courts,Pittsburgh,10,Perm. Lines,Perm. Nets
Koch Park,Pittsburgh,3,Perm. Lines,Perm. Nets
Brookline Recreation Center,Pittsburgh,2,Perm. Lines,Portable Nets
Schenley Oval Sportsplex,Pittsburgh,4,Perm. Lines,Perm. Nets
Allegheny Commons Park,Pittsburgh,2,Perm. Lines,Perm. Nets
Peters Township Tennis Center,Pittsburgh,4,Perm. Lines,Portable Nets
Verona Riverbank Park,Pittsburgh,4,Perm. Lines,Perm. Nets
Memorial Park,Pittsburgh,2,Perm. Lines,Tennis Nets
Simmons Park,Pittsburgh,4,Perm. Lines,Perm. Nets
Danny Jones Tennis Center,Charleston,4,Perm. Lines,Tennis Nets
Park West Tennis Courts,Charleston,4,Perm. Lines,Portable Nets
Lenevar Park,Charleston,2,Perm. Lines,Tennis Nets
North Charleston Athletic Center,Charleston,4,Perm. Lines,Portable Nets
Mary Utsey Playground,Charleston,2,Perm. Lines,Tennis Nets
Town Hall Gym,Charleston,4,Perm. Lines,Portable Nets
"Arthur B. Schirmer, Jr. Tennis Center (Bees Ferry)",Charleston,8,Perm. Lines,BYO Nets
Alan Fleming Tennis Center - Johns Island Park,Charleston,6,Perm. Lines,Portable Nets
Ashley River Church,Charleston,5,Perm. Lines,Perm. Nets
Moultrie Playground Pickleball Courts,Charleston,2,Perm. Lines,Perm. Nets
Haut Gap Middle School,Charleston,4,Perm. Lines,BYO Nets
Northwoods Park,Charleston,3,Perm. Lines,Portable Nets
Martin Park,Charleston,2,Perm. Lines,Perm. Nets
Thomas Johnson Park,Charleston,4,Perm. Lines,Portable Nets
Isle of Palms Recreation,Charleston,2,Perm. Lines,Perm. Nets
Sullivan's Island Playground Park,Charleston,2,Perm. Lines,BYO Nets
Pirate's Cove Playground,Charleston,4,Perm. Lines,Portable Nets
Collins Park,Charleston,16,Perm. Lines,Perm. Nets
Corrine Jones Park,Charleston,2,Perm. Lines,Tennis Nets
Miriam Brown Community Center,Charleston,4,Perm. Lines,Portable Nets
Los Duranes Community Center,Albuquerque,2,Perm. Lines,Portable Nets
Villela Park,Albuquerque,6,Perm. Lines,Perm. Nets
Bernalillo County North Domingo Baca Tennis Courts,Albuquerque,2,Perm. Lines,BYO Nets
Rinconada Park,Albuquerque,2,Perm. Lines,BYO Nets
Village of Los Ranchos de Albuquerque,Albuquerque,2,Perm. Lines,Perm. Nets
Eagle Ranch Park,Albuquerque,4,Perm. Lines,BYO Nets
Thomas Bell Community Center,Albuquerque,3,Perm. Lines,Portable Nets
Lynnwood Park,Albuquerque,4,Perm. Lines,BYO Nets
Loma Del Norte Park,Albuquerque,4,Perm. Lines,BYO Nets
Ventana Ranch Park,Albuquerque,12,Perm. Lines,Portable Nets
Raymond Sanchez Community Center,Albuquerque,6,Perm. Lines,BYO Nets
Manzano Mesa Park,Albuquerque,39,Perm. Lines,Perm. Nets
Montgomery Park,Albuquerque,4,Perm. Lines,BYO Nets
Lyndon B. Johnson Middle School,Albuquerque,3,Perm. Lines,Portable Nets
Alamosa Park,Albuquerque,8,Perm. Lines,BYO Nets
Taylor Ranch Community Center,Albuquerque,3,Perm. Lines,Portable Nets
Columbus Park,Albuquerque,4,Perm. Lines,Portable Nets
Alamosa Community Center,Albuquerque,2,Perm. Lines,Portable Nets
Haynes Park,Albuquerque,4,Perm. Lines,BYO Nets
Hoffman Park,Albuquerque,2,Perm. Lines,BYO Nets
Rio Rancho Sports Complex,Albuquerque,4,Perm. Lines,BYO Nets
Quintessence Park,Albuquerque,4,Perm. Lines,BYO Nets
Degenhart Park,Columbus,6,Perm. Lines,Portable Nets
Wellington Park,Columbus,2,Perm. Lines,Tennis Nets
Windsor Park Pickleball Courts,Columbus,6,Perm. Lines,Perm. Nets
Beatty Community Center,Columbus,2,Perm. Lines,Portable Nets
John F. Kennedy Park,Columbus,8,Tape Lines,Portable Nets
Coffman Park,Columbus,8,Perm. Lines,Perm. Nets
McGill Park,Columbus,5,Perm. Lines,Perm. Nets
Olentangy Parklands,Columbus,12,Perm. Lines,Perm. Nets
Grandview Heights Park & Recreation,Columbus,4,Perm. Lines,Portable Nets
Sycamore Creek Park Outdoor Tennis Course,Columbus,2,Perm. Lines,Perm. Nets
Clinton Como Park,Columbus,2,Perm. Lines,BYO Nets
Beulah Park,Columbus,7,Perm. Lines,Perm. Nets
Warner Woods Park,Columbus,4,Perm. Lines,Perm. Nets
Friendship Park,Columbus,4,Perm. Lines,Perm. Nets
Woods of Brighton Lane,Columbus,2,Perm. Lines,Tennis Nets
Lincoln Tower Outdoor Rec,Columbus,6,Perm. Lines,Tennis Nets
Roger A. Reynolds Municipal Park,Columbus,2,Perm. Lines,Perm. Nets
Mcdonald Athletic Complex,Columbus,4,Perm. Lines,BYO Nets
Bevelhymer Park - Yellow Zone Tennis Courts,Columbus,4,Perm. Lines,BYO Nets
Balgriffin Park,Columbus,2,Perm. Lines,Tennis Nets
Antrim park,Columbus,4,Perm. Lines,BYO Nets
Donegal Cliffs Park,Columbus,2,Perm. Lines,Tennis Nets
Bevelhymer Park - 16 Courts,Columbus,16,Perm. Lines,Perm. Nets
Fancyburg Park,Columbus,8,Perm. Lines,Portable Nets
Paul S. Metzger Park,Columbus,6,Perm. Lines,BYO Nets
Tri-City Park,Columbus,12,Perm. Lines,Perm. Nets
Marion Franklin Park,Columbus,5,Perm. Lines,Perm. Nets
Jeffrey Park Solomon Pickleball Courts,Columbus,4,Perm. Lines,Perm. Nets
Warehouse Garage,Columbus,5,Tape Lines,BYO Nets
Central Park,Myrtle Beach,4,Perm. Lines,Perm. Nets
Midway Park Pickleball courts,Myrtle Beach,10,Perm. Lines,Perm. Nets
Surfside United Methodist Church,Myrtle Beach,3,Perm. Lines,Portable Nets
Hill Street Park,Myrtle Beach,1,Perm. Lines,Perm. Nets
South Strand Recreation Center,Myrtle Beach,4,Perm. Lines,Portable Nets
Beach Church,Myrtle Beach,3,Perm. Lines,Portable Nets
Conway Recreation Center,Myrtle Beach,3,Perm. Lines,BYO Nets
Academia Conejo,San Jose,6,Perm. Lines,Portable Nets
Deerfield Park,Providence,6,Perm. Lines,Portable Nets
Barrington Kent Street Park Tennis / Pickleball courts,Providence,4,Perm. Lines,BYO Nets
Nickerson Playground,Providence,3,Perm. Lines,Perm. Nets
Fall River Bicentennial Park Pickleball,Providence,4,BYO Lines,BYO Nets
Jamiel's Park,Providence,2,Perm. Lines,Tennis Nets
Fore Court Racquet & Fitness,Providence,8,Tape Lines,Portable Nets
Burrs Hill Park,Providence,2,Perm. Lines,Tennis Nets
Chinese Park,Providence,2,Perm. Lines,Portable Nets
Nathan Bishop tennis courts,Providence,4,Perm. Lines,BYO Nets
Rehoboth Francis farm,Providence,2,Perm. Lines,Perm. Nets
Herbert F Paine Memorial Field,Providence,4,Perm. Lines,Portable Nets
Jewish Community Center of RI,Providence,6,Perm. Lines,Portable Nets
Mickey Stevens Sports Complex,Providence,4,Perm. Lines,Tennis Nets
Kennedy Park Pickleball,Providence,8,Perm. Lines,Perm. Nets
John Chafee Athletic & Recreation Center,Providence,4,Perm. Lines,Portable Nets
Tilda B Stone Pickleball Court,Providence,3,Perm. Lines,Perm. Nets
Kennedy Park Pickleball Courts,Providence,8,Perm. Lines,Perm. Nets
Barrington Middle School Outdoor Pickleball Courts,Providence,8,Perm. Lines,BYO Nets
Rehoboth,Providence,3,Perm. Lines,BYO Nets
Fairlawn Playground,Providence,2,Perm. Lines,BYO Nets
Bristol Town Commons Park,Providence,8,Perm. Lines,Portable Nets
Slater Park,Providence,4,Perm. Lines,BYO Nets
Winona Community Centre,Burlington,1,Perm. Lines,Portable Nets
Sycamore Park,Burlington,2,Perm. Lines,Tennis Nets
Mattamy National Cycling Centre (MNCC),Burlington,9,Perm. Lines,Portable Nets
Dundas Lions Memorial Community Centre,Burlington,3,Perm. Lines,Portable Nets
Ford Neighbourhood Park,Burlington,2,Perm. Lines,Portable Nets
Central Arena - Auditorium,Burlington,1,Perm. Lines,Perm. Nets
Leighland Park,Burlington,2,Perm. Lines,Tennis Nets
Sir John Colborne Recreation Centre for Seniors,Burlington,2,Perm. Lines,Portable Nets
Parkdale Park Pickleball/Tennis Court,Burlington,2,Perm. Lines,Tennis Nets
Optimist Park,Burlington,2,Perm. Lines,Tennis Nets
Confederation Park,Burlington,12,Perm. Lines,Perm. Nets
Bolus Garden Parkette,Burlington,2,Perm. Lines,BYO Nets
Mayfair Park,Burlington,1,,
Central Memorial Recreation Centre,Burlington,2,Perm. Lines,Portable Nets
Ireland Park,Burlington,4,Perm. Lines,BYO Nets
Tansley Woods Park,Burlington,3,Perm. Lines,Perm. Nets
Oak Haven Park,San Antonio,1,Perm. Lines,Tennis Nets
Monterrey Park,San Antonio,8,Perm. Lines,Perm. Nets
Forest Hills Presbyterian Church,San Antonio,2,Perm. Lines,BYO Nets
Gilbert Garza Park,San Antonio,2,Perm. Lines,Tennis Nets
CBC at Emmitt Park,San Antonio,3,Perm. Lines,Perm. Nets
Hamilton Community Center,San Antonio,3,Perm. Lines,Portable Nets
Beyster Windcrest Tennis and Pickleball Center,San Antonio,7,Perm. Lines,Perm. Nets
northside,San Antonio,3,BYO Lines,Tennis Nets
Fairchild Park,San Antonio,18,Perm. Lines,Perm. Nets
Takas Windcrest City Park,San Antonio,1,Perm. Lines,Perm. Nets
Hilo Armory,Kalaoa,3,Perm. Lines,Portable Nets
Hoolulu Tennis/Pickleball Courts,Kalaoa,4,Perm. Lines,BYO Nets
Dan Wakefield Park,Indianapolis,2,Perm. Lines,Tennis Nets
Stephens Park - Brownsburg,Indianapolis,6,Perm. Lines,Perm. Nets
Swinford Park,Indianapolis,8,Perm. Lines,Perm. Nets
Washington Township Park Outdoor Pickle Ball,Indianapolis,4,Perm. Lines,Portable Nets
Arbuckle Acres Park,Indianapolis,2,Perm. Lines,Tennis Nets
Ellenberger Park,Indianapolis,2,Perm. Lines,Perm. Nets
Lions Park - Cumberland,Indianapolis,4,Perm. Lines,Perm. Nets
Dubarry Park,Indianapolis,3,Perm. Lines,BYO Nets
Krannert Park,Indianapolis,6,Perm. Lines,BYO Nets
Broad Ripple Park,Indianapolis,4,Perm. Lines,Tennis Nets
Avon Christian Church,Indianapolis,3,Tape Lines,Portable Nets
Craig Park,Indianapolis,7,Perm. Lines,Perm. Nets
Sahm Park,Indianapolis,4,Perm. Lines,Tennis Nets
Franklin Park,Indianapolis,8,Perm. Lines,Perm. Nets
Sarah T Bolton park,Indianapolis,2,Perm. Lines,BYO Nets
Gardner Park,Indianapolis,3,Perm. Lines,Perm. Nets
Lee Road Park,Indianapolis,8,Perm. Lines,Perm. Nets
Vince Marcotte Park,Detroit,3,Perm. Lines,Perm. Nets
Riverview Vreeland Park,Detroit,3,Perm. Lines,Perm. Nets
F.O.P. Park,Detroit,4,Perm. Lines,Perm. Nets
Palmer Park Pickleball Courts,Detroit,9,Perm. Lines,Tennis Nets
Whittier Park,Detroit,8,Perm. Lines,Perm. Nets
Ford Community & Performing Arts Center,Detroit,7,Perm. Lines,Portable Nets
Shawanoe Park,Detroit,4,Perm. Lines,Perm. Nets
WFCU/Eastside Centre,Detroit,3,Perm. Lines,Portable Nets
Southfield Parks And Recreation - Beech Woods Recreation Center,Detroit,4,Perm. Lines,Portable Nets
Essex Community Centre,Detroit,5,Perm. Lines,Portable Nets
Johnston Park,Detroit,2,Perm. Lines,Tennis Nets
Busse Park,Detroit,6,Perm. Lines,Perm. Nets
Saint Clair Shores Civic Center,Detroit,6,Perm. Lines,Perm. Nets
Rosemont Community Park,Sacramento,2,Perm. Lines,Perm. Nets
Sycamore Park,Sacramento,2,Perm. Lines,Tennis Nets
Wackman Park,Sacramento,4,Perm. Lines,BYO Nets
North Ridge Country Club,Sacramento,4,Perm. Lines,Perm. Nets
Cresthaven Park,Sacramento,2,Perm. Lines,Perm. Nets
Cabrillo Park,Sacramento,2,Perm. Lines,Tennis Nets
R. Burnett Miller Park,Sacramento,2,Perm. Lines,Perm. Nets
Slide Hill Park Tennis Courts,Sacramento,2,Perm. Lines,Tennis Nets
Larchmont Community Park,Sacramento,2,Perm. Lines,Tennis Nets
Covell Park,Sacramento,2,Perm. Lines,Tennis Nets
David A. Simpson Park,Sacramento,2,Perm. Lines,BYO Nets
Van Doren Park,Sacramento,2,Perm. Lines,Tennis Nets
Cosumnes River College,Sacramento,8,Perm. Lines,Perm. Nets
Garcia Bend Park,Sacramento,4,Perm. Lines,Perm. Nets
Rusch Community Park,Sacramento,12,Perm. Lines,Perm. Nets
Veterans Park,Sacramento,1,Perm. Lines,Tennis Nets
Glenbrook Park,Sacramento,2,Perm. Lines,Tennis Nets
Walnut Park,Sacramento,4,Perm. Lines,Perm. Nets
Rio Linda Elverta Recreation and Park District,Sacramento,4,Perm. Lines,BYO Nets
Redwood Park,Sacramento,4,Perm. Lines,Perm. Nets
Eastern Oak Park,Sacramento,6,Perm. Lines,Perm. Nets
Magnolia Park,Sacramento,2,Perm. Lines,Tennis Nets
Southside Park Court,Sacramento,6,Perm. Lines,Perm. Nets
Carmichael Park,Sacramento,2,Perm. Lines,Tennis Nets
Gibbons Community Park,Sacramento,6,Perm. Lines,Perm. Nets
Cottage Park,Sacramento,2,Perm. Lines,Tennis Nets
Batey Park,Sacramento,3,Perm. Lines,Tennis Nets
Eugene H. Ahner Park,Sacramento,1,Perm. Lines,Tennis Nets
Valley Oak Park,Sacramento,2,Perm. Lines,Tennis Nets
McClatchy Park,Sacramento,2,Perm. Lines,Tennis Nets
Curtis Park,Sacramento,2,Perm. Lines,BYO Nets
San Juan Park Court,Sacramento,4,Perm. Lines,Perm. Nets
Lewis Park,Sacramento,2,Perm. Lines,Tennis Nets
Ashton Park,Sacramento,3,Perm. Lines,Tennis Nets
Lincoln Village Community Park,Sacramento,2,Perm. Lines,BYO Nets
Pannell-Meadowview Community Center,Sacramento,3,Perm. Lines,Portable Nets
Miwok Park,Sacramento,2,Perm. Lines,BYO Nets
Swanston Park,Sacramento,2,Perm. Lines,Tennis Nets
Crosswoods Community Park,Sacramento,2,Perm. Lines,Tennis Nets
California Middle School,Sacramento,8,Perm. Lines,BYO Nets
Cresta Park,Sacramento,1,Perm. Lines,Tennis Nets
Pokelma Park,Sacramento,2,Perm. Lines,Tennis Nets
The Crossing at East Cut,Oakland,5,Perm. Lines,Perm. Nets
Buena Vista Park,Oakland,4,Perm. Lines,BYO Nets
Richmond Playground,Oakland,2,Perm. Lines,Portable Nets
Rudgear Park,Oakland,8,Perm. Lines,Perm. Nets
Richmond Recreation Center,Oakland,4,Perm. Lines,Portable Nets
War Memorial Community Center,Oakland,3,Perm. Lines,Portable Nets
Westborough Park,Oakland,4,Perm. Lines,BYO Nets
Louis Sutter Playground,Oakland,6,Perm. Lines,Perm. Nets
Minnie & Lovie Ward Recreational Center,Oakland,4,Perm. Lines,Portable Nets
Lafayette Rink,Oakland,6,Perm. Lines,Perm. Nets
Martin Luther King Jr Park,Oakland,2,Perm. Lines,Perm. Nets
Castro Park,Oakland,6,Perm. Lines,Portable Nets
Hampton Tennis Court - Piedmont,Oakland,4,Perm. Lines,BYO Nets
Moscone Park Playground,Oakland,6,Perm. Lines,Portable Nets
George Christopher Playground Park,Oakland,2,Perm. Lines,BYO Nets
Eureka Valley Rec Center,Oakland,3,Perm. Lines,Portable Nets
SouthGate Hayward Pickleball Park,Oakland,6,Perm. Lines,Perm. Nets
Linda Beach Pickleball Courts,Oakland,4,Perm. Lines,Portable Nets
Glen Park Recreation Center,Oakland,3,Perm. Lines,Portable Nets
James Kenney Park Pickleball Court,Oakland,1,Perm. Lines,Perm. Nets
Lincoln Park,Oakland,4,Perm. Lines,Perm. Nets
Angelo J. Rossi Playground,Oakland,8,Perm. Lines,Portable Nets
Washington Manor Park,Oakland,6,Perm. Lines,Perm. Nets
Mission Blue Tennis Courts,Oakland,2,Perm. Lines,BYO Nets
Pacelli Event Center,Oakland,3,Perm. Lines,BYO Nets
Presidio Wall Playground,Oakland,6,Perm. Lines,Portable Nets
Parkside Square & Bob Cheney Field,Oakland,8,Perm. Lines,BYO Nets
Hamilton Recreation Center,Oakland,3,Perm. Lines,Portable Nets
Cedar Rose Park Pickleball Courts,Oakland,4,Perm. Lines,Perm. Nets
De Fremery Park,Oakland,1,Perm. Lines,Tennis Nets
Weekes Community Center-Park,Oakland,2,Perm. Lines,Perm. Nets
Orange Memorial Park,Oakland,4,Perm. Lines,BYO Nets
Piedmont Middle School Pickleball Courts,Oakland,6,Perm. Lines,Portable Nets
Mission Bay,Oakland,1,Perm. Lines,BYO Nets
Orinda Community Center Park,Oakland,3,Perm. Lines,Portable Nets
Leydecker Park,Oakland,4,Perm. Lines,Portable Nets
Richmond Police Activities League,Oakland,2,Perm. Lines,BYO Nets
States Street Playground,Oakland,2,Chalk Lines,Portable Nets
Booker T. Anderson Jr. Park,Oakland,6,Perm. Lines,Perm. Nets
Albert Park,Oakland,2,Perm. Lines,Tennis Nets
Buri Buri Park,Oakland,4,Perm. Lines,Portable Nets
Bushrod Park,Oakland,4,Perm. Lines,BYO Nets
Crocker Amazon Park,Oakland,2,Perm. Lines,BYO Nets
Strawberry Recreation Center,Oakland,2,Perm. Lines,Portable Nets
Ocean View Park,Oakland,4,Perm. Lines,Perm. Nets
Corte Madera Town Park,Oakland,2,Perm. Lines,BYO Nets
Piper Park,Oakland,4,Perm. Lines,Portable Nets
Stonegate Park,Oakland,2,Perm. Lines,BYO Nets
Carl Larsen Playground,Oakland,8,Perm. Lines,Perm. Nets
Upper Noe Recreation Center,Oakland,6,Perm. Lines,Tennis Nets
Sellick Park,Oakland,4,Perm. Lines,Portable Nets
